Description;Intent

Flood/Landslide Update: Death count due to current flood/landslide in Nepal has reached to 17 and 22 are missing. Around 1,760 people of 528 houses are affected. #PrayForNepal;Sad

Kathmandu bata Pokhara jadai gareko Car Trisuli river ma khasda 3 jana missing vayeka chhan vane 1 jana ko rescue vayeko chha.;Sad

Growing danger in Kathmandu area: A boy of around 10 years old has been missing from yesterday after falling into drainage in Kapan, Kathmandu. The search for him is going on. Such incidents have happened previously as well in Kathmandu.;Sad

Kathmandu District Administration Office le mask nalagai hidne lai each time Rs. 100 fine hune vandai notice nikaleko chha. Office le Government le ongoing situation ko lagi lyayeko Ordinance (अध्यादेश) follow garna sabai lai request gareko chha vane Ordinance follow nagarne manche lai 1 year jail ra Nrs. 1 Lakh samma fine huney ni vaneko chha.;Surprise

Popular Netflix Series Money Heist ( La Casa de Papel)'s Final season will be released in 2 parts. Part 1 will release on September 3 and Part 2 will release on December 3, 2021.;Surprise

Warm farewell to MoHP's Spokesperson Dr. Jageshwar Gautam: He has been appointed as the Chief Administrative Officer of Bir Hospital (COVID-19 Unified Hospital). Now, Sameer Adhikari, co-spokesperson will handle his post & will appear in comes Media briefing for an interim period until next Spokesperson is officially appointed.;Funny

Health & Population Minister Hridayesh Tripathi said, "We are trying our best even during such political condition and we have taken the advice of imposing Health Emergency in the country positively from experts. We are also in talks with many countries about bringing Khop (खाेप) and official letters have been sent already.";Angry

Back to Back record in Nepali Share Market: NEPSE has touched its all time highest point (2,823) & a highest trade ever in a single day with transaction of more than Nrs. 13 Arba 17 Crore today.;Surprise

The alliance of opposition parties have officially filed a writ at Supreme Court of Nepal asking the court to reinstate the parliament, call a parliamentary meeting and make Mr. Sher Bahadur Deuba as a Prime Minister of Nepal. They have also claimed to have 146 Member of Parliament on their side.;Funny

Nepal's First Female PhD. holder in literature & popular writer Banira Giri is no more. She took her last breath last night as per family sources. Her book 'Kaaragar' is still popular.;Sad

Today is Birth Anniversary of Yug Kabi Siddhicharan Shrestha. His poetry collections कुहिरो र घाम, तिरमिर तारा, बाँचिरहेको आवाज etc were popular. His poem "मेरो प्यारो ओखलढुङ्गा" is still found in school text book.#HappyBirthday;Surprise


Trending: President Vidyadevi Bhandari has issued the Nepal Citizenship (First Amendment) Ordinance, 2078 and people are giving mix feedback. Details about this Ordinance is yet to be public.;Funny

Great Work: The team of CREASION Nepal collected different donation under their campaign '#OxygenforNepal' and are bringing 300 oxygen cylinders from China to Nepal. It is a great initiative taken by the team for helping Nepal in the ongoing situation. Different other organizations are also running campaigns which is of great help and relief to Nepal to overcome the difficult situation. ;Sad

Kubhinde Daha - Hidden Beauty of Salyan, Nepal.#ExploreNepal;Surprise

A discussion about Nepal's current situation happened at UK's parliament where the members talked about helping Nepal in present condition. They also talk about how Nepal's Gurkhas have helped UK in need. P.S. UK is sending medical team next week to help Nepal.;Surprise

Achievement: A group of Mechanical Engineering students from KU, Nepal has been granted worth NRs.16.4  lakhs for their innovative project, 'Project Aauzar' under RoadtoCOP26 campaign launched under COP26 program by British Council which is related to reducing climate change and environmental problems. They have become an inspiration for all the students by becoming the only under graduate students among 6 other Nepali groups who have received the grant.;Surprise

Great Work by PUBG Player: Popular Nepali gamer/streamer, Pawan Jung Shai aka 4K Gaming Nepal has donated the money earned by playing PUBG NRs. 2.06 lakhs to Mahabir Pun's National Innovation Center for Oxygen related help. ;Surprise

Atlético Madrid wins the Spanish LA Liga football title 2020-21 after winning the last match against Valladolid by 2-1 goal score.#Congratulations;Surprise

Veteran Actors Dilip Rayamajhi and Ramit Dhungana provided food (Rice, Salt, Daal, cooking oil and so on) to almost 1700 needy families of Bhutanese refugees at Pathri- Shanischare of East Morang & Jhapa. ;Surprise

Parliament dissolution ko against ma Nepali Congress lagayat ka opposition party haru le 149 samsad ko signature sahit Supreme Court ma Muddha halne vayeka chhan vane different protest program ni garne vayeka chhan.;Funny

Nepal Airlines flying to Singapore today morning to bring medical supplies. ;Surprise

Great Work: Dawa Futi Sherpa, Nepal's Ambassador for Spain has brought 5 tons of health equipments under via charter flight provided by the Spanish Government to Nepal. This is a true spirit and humble act of our Ambassador. ;Surprise

Government le public place ma mask nalagai hidne lai Rs. 100 fine tiraune rule lyayeko cha vane ongoing situation ko lagi ayeko Naya adhyadesh anusar Nisedhagya ko Bela aba bina emergency or permission bike chalaune lai Rs. 2000 ra aru vehicles lai Rs. 5000 samma fine tiraune rule aayeko cha.;Surprise

Earthquake Update: 3 Magnitude Earthquake hits Bhulbhule, Lamjung area few moment ago (12:13 AM).;Sad

Breaking News: President Bidhya Devi Bhandari's office has said that both Sher Bahadur Deuba's & KP Oli's claim to be Prime Minister is invalid as their party members went against Political Party's rule in Constitution. P.S. After this decision, PM KP Sharma Oli has called an emergency meeting of the cabinet.;Funny

Interesting: Today is 21st Day of 21st week of 21st year of 21st century.  ;Surprise

Korean Boy Band BTS's latest release 'Butter' has smashed many records as It becomes the fastest music video in YouTube history to hit 10 million views in just 13 minutes & fastest music video to 20 million views in just 54 minutes on YouTube.;Surprise

Kavre ma 22 years old female lai marera dead body makai bari pureko aarop ma Police le unko Buda ra Sasura lai arrest gareko cha.;Sad

Another Breaking News from Nepali Politics: PM KP Sharma Oli had claimed for re-appointment as the PM of Nepal at the President's Office saying that he has support of 153 Members (Samsad) out of which 121 are the members of his own party (UML) and 32 are the members of JaSaPa.;Surprise

Big Breaking: The Leaders like Pushpa Kamal Dahal, Madhav Kumar Nepal, Sher Bahadur Deuba, Baburam Bhattarai and Upendra Yadhav are going to the President's Office with the signature of 149 Members (Samsad) with a claim to form the government under Chairman of Nepali Congress, Sher Bahadur Deuba. Out of 149 signatures, 27 signatures are from Madhav Nepal Group.;Funny

PM KP Oli is airing a press conference now. He might announce something big but it is not exactly clear yet.;Funny

Tauktae Cyclone effect in Nepal: Most of the ares of Country is covered with cloud. Normal to heavy rainfall is expected in many places. ;Sad

Wow... A well facilitated isolation ward built at the new building of Bir Hospital after the establishment of oxygen plant. Lets hope this will help to make the situation better with more beds and better facilities and reduce the ongoing problems related to shortage of oxygen. ;Surprise

Nepal Army personnel taking rest after continuous Dead Body Management Work: Hats off to all who are working day and night to safely perform final rites. It is mentally & physically challenging for people who are not habituated for this job. Huge respect to them for the ways they are trying. ;Sad


As seen on today's Mobile Torch light protest event against dissolution of parliament by Nagarik Samaj (Civil Society) at Kathmandu.;Sad

